rights_id,publisher,source_url,product_ids,review_status,default_release,licence_or_terms_url,verified_permissions,excluded_assets,attribution,reviewed_on
RIGHTS-11,New Zealand Parliament,https://www.parliament.nz/en/pb/sc/,P05,pending,link-only,https://www3.parliament.nz/en/footer/copyright/,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-12,New Zealand Parliament,https://www.parliament.nz/en/pb/sc/reports/,P06;P07,pending,link-only,https://www3.parliament.nz/en/footer/copyright/,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-13,New Zealand Parliament,https://www3.parliament.nz/en/mps-and-electorates/members-of-parliament,P10,pending,link-only,https://www3.parliament.nz/en/footer/copyright/,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-14,Registered New Zealand political parties,https://elections.nz/democracy-in-nz/political-parties-in-new-zealand/register-of-political-parties/,P13,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-15,Reserve Bank of New Zealand,https://www.rbnz.govt.nz/statistics,P18,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-16,Stats NZ,https://www.stats.govt.nz/2018-census/,P19,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-17,Stats NZ,https://www.stats.govt.nz/2023-census/,P21,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-18,Stats NZ,https://www.stats.govt.nz/large-datasets/csv-files-for-download/,P20;P22,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-19,Tenancy Services,https://www.tenancy.govt.nz/rent-bond-and-bills/market-rent/,P23,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-20,Electoral Commission,https://elections.nz/democracy-in-nz/political-parties-in-new-zealand/register-of-political-parties/,,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-21,Electoral Commission,https://vote.nz/2026-general-election/about/overview/key-dates,,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-22,Stats NZ,https://www3.stats.govt.nz/meshblock/2013/csv/2013_mb_dataset_Total_New_Zealand_CSV.zip,,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
